사업장명,좌표정보(X),좌표정보(Y),도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,hpid_x,dutyName_x,dutyAddr_x,hpid_y,dutyName_y,dutyAddr_y,hpid,dutyName,dutyAddr
포레스트병원,199642.716240024,452606.614384676,"서울특별시 종로구 율곡로 164, 지하1,2층,1층일부,2~8층 (원남동)",92.0,36.0,42.0,0,보통,,,,,,,,,
로이병원,197212.364862058,456055.205802855,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",131.0,32.0,19.0,0,혼잡,,,,,,,,,
서울숭인병원,201728.010848506,452416.82550417,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",114.0,29.0,19.0,0,혼잡,,,,,,,,,
참바로병원,201400.824438273,451528.012185815,"서울특별시 중구 다산로 258, 리마크빌 동대문 2,3층 (흥인동)",57.0,11.0,28.0,0,보통,,,,,,,,,
국립중앙의료원,200461.421710224,451682.120811509,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",499.0,120.0,842.0,1,여유,A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)"
학교법인대진교육재단 제인병원,204968.468327442,449690.197895816,서울특별시 성동구 광나루로 243 (송정동),98.0,31.0,20.0,0,혼잡,,,,,,,,,
9988병원,203242.775760419,450703.100046897,서울특별시 성동구 왕십리로 269 (행당동),44.0,12.0,14.0,0,보통,,,,,,,,,
연세바로척병원,205665.640838329,449129.621885233,서울특별시 성동구 동일로 133 (성수동2가),69.0,22.0,15.0,0,혼잡,,,,,,,,,
바른본병원,207625.005710016,450175.247405254,서울특별시 광진구 천호대로 630 (능동),41.0,12.0,28.0,0,여유,,,,,,,,,
연세무척나은병원,207076.829146902,450443.588513839,서울특별시 광진구 천호대로 568 (능동),41.0,9.0,28.0,0,여유,,,,,,,,,
서울프라임병원,205558.67706739,448728.056778367,"서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)",59.0,20.0,12.0,0,혼잡,,,,,,,,,
서울탑병원,203109.595530999,453230.287283096,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",129.0,39.0,66.0,0,여유,,,,,,,,,
엔플러스병원,206344.162717169,452578.5598439,"서울특별시 동대문구 장한로32길 7, 장안동의료시설 (장안동)",72.0,47.0,35.0,0,보통,,,,,,,,,
서울나은병원,203350.938246277,452917.201468717,서울특별시 동대문구 왕산로 137 (제기동),72.0,15.0,21.0,0,혼잡,,,,,,,,,
참튼튼병원,206056.59490363,452278.21455164,서울특별시 동대문구 답십리로 261 (장안동),84.0,16.0,32.0,0,보통,,,,,,,,,
날개병원,202533.326115758,453257.581750017,서울특별시 동대문구 무학로 193-1 (용두동),39.0,9.0,12.0,0,혼잡,,,,,,,,,
린여성병원,206099.743325087,452218.18881442,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",60.0,38.0,38.0,0,여유,,,,,,,,,
하늘병원,204831.461305899,451444.505952989,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)",77.0,20.0,33.0,0,보통,,,,,,,,,
왕십리휴병원,202670.049271259,452196.571007272,"서울특별시 동대문구 무학로 88 (용두동, 지하2~지상8층)",200.0,65.0,85.0,2,보통,,,,,,,,,
서울특별시서울의료원,208580.409647184,456742.947541604,서울특별시 중랑구 신내로 156 (신내동),651.0,176.0,1056.0,1,여유,A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동)
디앤에프병원,207125.811484424,455464.287801328,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",66.0,18.0,27.0,0,보통,,,,,,,,,
팔팔병원,206970.931160172,454293.539072489,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",86.0,15.0,57.0,0,여유,,,,,,,,,
서울정병원,207702.839931452,453039.34552948,"서울특별시 중랑구 면목로 310, 4,5,6,7층일부층 (면목동)",53.0,9.0,13.0,0,혼잡,,,,,,,,,
늘찬병원,206963.656507439,453966.434982103,"서울특별시 중랑구 동일로 643, 화성빌딩 지하1, 2~8층 (면목동)",43.0,14.0,37.0,0,여유,,,,,,,,,
러스크서울병원,209144.172317054,455311.560177952,서울특별시 중랑구 망우로 470 (망우동),200.0,54.0,58.0,2,혼잡,,,,,,,,,
연세산돌병원,208664.15211223,454762.013502246,"서울특별시 중랑구 봉우재로 234, 연세산돌병원 지하1층~7층 (망우동)",44.0,15.0,26.0,0,여유,,,,,,,,,
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),202313.850759843,453871.264665299,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",944.0,264.0,2095.0,1,여유,,,,,,,,,
더서울병원,201389.393007427,454658.210922524,"서울특별시 성북구 아리랑로 16, 3~7층 (동선동4가)",58.0,16.0,30.0,0,여유,,,,,,,,,
성북우리아이들병원,202518.375589119,456065.671970878,서울특별시 성북구 동소문로46길 10 (하월곡동),78.0,52.0,85.0,0,여유,,,,,,,,,
서울현대병원,202451.867599327,459765.521965024,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",183.0,47.0,96.0,2,여유,A1100172,서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",A1100172,서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",A1100172,서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)"
강북우리병원,201930.770048587,460020.981733386,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",83.0,17.0,47.0,0,여유,,,,,,,,,
강북으뜸병원,202240.855124105,458118.709572688,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",64.0,19.0,19.0,0,혼잡,A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)"
서울유병원,202541.070832521,457081.260634815,"서울특별시 강북구 도봉로 77, 지하2층~지하1층, 3층~8층층 (미아동)",54.0,24.0,43.0,0,여유,,,,,,,,,
정석병원,205550.908407551,461343.062226682,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",53.0,10.0,32.0,0,여유,,,,,,,,,
강북연세병원,206592.199165568,457438.713791301,서울특별시 노원구 동일로 996 (공릉동),82.0,20.0,74.0,0,여유,,,,,,,,,
새힘병원,205922.151234054,461261.657201799,서울특별시 노원구 노원로 416(상계동),48.0,16.0,25.0,0,여유,,,,,,,,,
본바움병원,193651.134148026,456526.076692087,"서울특별시 은평구 불광로 29, 3~11층 (대조동)",47.0,15.0,37.0,0,여유,,,,,,,,,
최원호병원,193205.566015544,455829.616998307,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",90.0,18.0,36.0,0,보통,A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",A1117070,최원호병원,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)"
의료법인 성누가의료재단 성누가병원,193778.708753016,456467.985518055,"서울특별시 은평구 통일로 726, 불광메디컬타워 1~12층 (불광동)",30.0,10.0,19.0,0,여유,,,,,,,,,
리드힐병원,192551.98978217,455278.568446081,"서울특별시 은평구 연서로 10, 지하2~지상9층 (역촌동)",40.0,15.0,24.0,0,여유,,,,,,,,,
가자연세병원,192562.973370487,451852.14962353,"서울특별시 서대문구 수색로 18, 2~5층 (남가좌동, 영보웨딩부페)",40.0,12.0,32.0,0,여유,,,,,,,,,
연세한강병원,195051.53369717,448575.956518546,"서울특별시 마포구 마포대로 25, 대농빌딩 2,3,5층 (마포동)",49.0,14.0,36.0,0,여유,,,,,,,,,
세솟는정형외과병원,194363.589730635,450007.19193806,"서울특별시 마포구 백범로 26, 세솟는병원 (신수동)",30.0,10.0,10.0,0,보통,,,,,,,,,
위비앙병원,195728.22322929,450517.899048451,서울특별시 마포구 신촌로 240 (아현동),43.0,18.0,20.0,0,보통,,,,,,,,,
서울연세병원,194654.585202529,448914.521960764,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",44.0,14.0,26.0,0,여유,,,,,,,,,
올센병원,194681.263317912,449408.790227561,"서울특별시 마포구 독막로 241, 지하2-3층, 지상2-5층 (대흥동)",58.0,18.0,29.0,0,보통,,,,,,,,,
서울특별시서남병원,185179.358877689,445532.444934761,서울특별시 양천구 신정이펜1로 20 (신정동),297.0,76.0,368.0,2,여유,A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동)
목동제일여성병원,186831.15837972,446764.915938532,서울특별시 양천구 중앙로 300 (신정동),39.0,22.0,7.0,0,혼잡,,,,,,,,,
방화병원,183500.183270254,452337.321434998,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",30.0,11.0,12.0,0,보통,,,,,,,,,
서울고든병원,187974.228864018,450369.165403996,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",84.0,20.0,49.0,0,여유,,,,,,,,,
서울큰나무병원,185617.497941805,449153.637971735,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",82.0,23.0,37.0,0,보통,,,,,,,,,
