사업장명,도로명주소,병상수,입원실수,의료인수,cluster,혼잡도,좌표정보(X),좌표정보(Y)
포레스트병원,"서울특별시 종로구 율곡로 164, 지하1,2층,1층일부,2~8층 (원남동)",92.0,36.0,42.0,0,보통,199642.716240024,452606.614384676
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),655.0,169.0,946.0,1,여유,197111.969637621,451776.44366444
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),1656.0,535.0,3967.0,2,여유,199824.095974723,452984.360451452
세란병원,서울특별시 종로구 통일로 256 (무악동),204.0,65.0,297.0,0,여유,196173.853620552,452543.712240555
서울지구병원,서울특별시 종로구 삼청로10길 13 (삼청동),30.0,11.0,69.0,0,여유,198416.776072109,453972.44089667
로이병원,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",131.0,32.0,19.0,0,혼잡,197212.364862058,456055.205802855
서울숭인병원,"서울특별시 종로구 종로 386, 6.7.8.9층 (숭인동)",114.0,29.0,19.0,0,혼잡,201728.010848506,452416.82550417
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",292.0,62.0,223.0,0,여유,197013.490218964,451678.787536538
반도정형외과병원,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",30.0,17.0,21.0,0,여유,200823.512501925,450412.586912513
참바로병원,"서울특별시 중구 다산로 258, 리마크빌 동대문 2,3층 (흥인동)",57.0,11.0,28.0,0,보통,201400.824438273,451528.012185815
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",499.0,120.0,842.0,1,여유,200461.421710224,451682.120811509
서울송도병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",152.0,45.0,132.0,0,여유,200649.528636859,449877.44410054
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),693.0,164.0,1280.0,1,여유,200310.979917902,447939.994985364
금강아산병원(재단법인 아산사회복지재단),서울특별시 용산구 이촌로 318 (이촌동),48.0,14.0,60.0,0,여유,198334.528715682,446153.522154789
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),802.0,248.0,1377.0,1,여유,204117.965772206,450608.519334481
연세슬기병원,서울특별시 성동구 무학로2길 8 (도선동),61.0,24.0,13.0,0,혼잡,202640.965627674,451334.93443267
